9.913793182373046875e+01,9.478260803222656250e+01,9.826087188720703125e+01,9.565217590332031250e+01,9.304347991943359375e+01
9.827586364746093750e+01,1.000000000000000000e+02,1.000000000000000000e+02,9.826087188720703125e+01,9.913043212890625000e+01
1.000000000000000000e+02,1.000000000000000000e+02,9.826087188720703125e+01,1.000000000000000000e+02,1.000000000000000000e+02
9.137931060791015625e+01,8.956521606445312500e+01,9.217391204833984375e+01,8.521739196777343750e+01,9.304347991943359375e+01
1.000000000000000000e+02,9.826087188720703125e+01,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+02
9.310344696044921875e+01,9.739130401611328125e+01,9.478260803222656250e+01,1.000000000000000000e+02,9.652173614501953125e+01
9.568965148925781250e+01,9.913043212890625000e+01,1.000000000000000000e+02,9.826087188720703125e+01,9.478260803222656250e+01
9.913793182373046875e+01,1.000000000000000000e+02,9.826087188720703125e+01,9.913043212890625000e+01,9.913043212890625000e+01
9.655172729492187500e+01,9.565217590332031250e+01,9.565217590332031250e+01,9.478260803222656250e+01,9.826087188720703125e+01
9.913793182373046875e+01,9.739130401611328125e+01,9.652173614501953125e+01,9.739130401611328125e+01,9.652173614501953125e+01
8.879310607910156250e+01,8.869565582275390625e+01,9.043478393554687500e+01,8.608695983886718750e+01,9.217391204833984375e+01
9.310344696044921875e+01,9.043478393554687500e+01,9.130434417724609375e+01,9.391304016113281250e+01,9.130434417724609375e+01
9.827586364746093750e+01,1.000000000000000000e+02,9.913043212890625000e+01,9.826087188720703125e+01,9.913043212890625000e+01
9.655172729492187500e+01,1.000000000000000000e+02,9.826087188720703125e+01,9.913043212890625000e+01,9.826087188720703125e+01
9.741379547119140625e+01,1.000000000000000000e+02,9.826087188720703125e+01,9.913043212890625000e+01,9.913043212890625000e+01
1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+02
